secondPagePath,channelGrouping,uniquePageviews
www.mysite.com/build-yours/index.html,Organic Search,751962
www.mysite.com/build-yours/index.html,Paid Search,558721
www.mysite.com/build-yours/index.html,Direct,362104
www.mysite.com/mysite-range/f-product/index.html,Paid Search,166816
www.mysite.com/mysite-range/f-product/index.html,Organic Search,165048
www.mysite.com/mysite-range/f-prod/index.html,Organic Search,146276
www.mysite.com/mysite-rangetwindex.html,Organic Search,145738
www.mysite.com/mysite-range/e-product/index.html,Organic Search,142956
www.mysite.com/mysite-rangetwindex.html,Paid Search,134404
www.mysite.com/mysite-rangetwindex.html,Organic Search,129713
www.mysite.com/offers-and-widget/index.html,Organic Search,128647
www.mysite.com/mysite-range/e-product/index.html,Paid Search,128190
www.mysite.com/mysite-rangetwindex.html,Paid Search,122654
www.mysite.com/mysite-range/f-prod/index.html,Paid Search,120333
www.mysite.com/offers-and-widget/index.html,Paid Search,117483
rules.config.mysite.comtwconfigure/model,Organic Search,102231
rules.config.mysite.com/f-product/configure/model,Organic Search,94148
rules.config.mysite.comtwconfigure/model,Paid Search,85350
rules.config.mysite.com/f-prod/configure/model,Organic Search,77299
rules.config.mysite.com/f-product/configure/model,Paid Search,76636
www.mysite.com/mysite-rangetwindex.html,Organic Search,69264
www.mysite.com/mysite-range/e-product/index.html,Direct,63354
www.mysite.com/mysite-range/f-product/index.html,Direct,61275
www.mysite.com/offers-and-widget/index.html,Direct,57424
www.mysite.com/mysite-rangetwindex.html,Direct,55774
www.mysite.com/mysite-rangetwbuild-yours.html,Organic Search,54468
rules.config.mysite.com/f-prod/configure/model,Paid Search,53215
www.mysite.com/mysite-rangetwindex.html,Paid Search,53215
www.mysite.com/mysite-rangetwindex.html,Direct,51587
www.mysite.com/mysite-range/f-prod/index.html,Direct,48537
www.mysite.com/mysite-range/i-product-concept-car/index.html,Organic Search,46622
www.mysite.com/about-mysite/secret_service/project-8.html,Organic Search,42902
www.mysite.com/mysite-rangetwbuild-yours.html,Paid Search,42896
www.mysite.com/mysite-range/i-product-concept-car/index.html,Paid Search,41870
rules.config.mysite.comtwconfigure/model,Direct,41299
rules.config.mysite.com/f-product/configure/model,Direct,41150
www.mysite.com/dealer-locator.html,Paid Search,37196
www.mysite.com/owners/index.html,Organic Search,36762
rules.config.mysite.comtwconfigure/model,Organic Search,33993
www.mysite.com/dealer-locator.html,Organic Search,29401
rules.config.mysite.com/f-prod/configure/model,Direct,29117
www.mysite.com/about-mysite/secret_service/project-8.html,Paid Search,28808
rules.config.mysite.comtwconfigure/model,Organic Search,27703
www.mysite.com/mysite-range/mysite-e-product/index.html,Organic Search,27551
www.mysite.com/build-yours/index.html,Referral,25796
www.mysite.com/mysite-rangetwbuild-yours.html,Direct,25066
buildyour.mysite.com/product_x/configure/model,Organic Search,23681
www.mysite.com/owners/index.html,Paid Search,22201
www.mysite.com/mysite-rangetwindex.html,Direct,21263
rules.config.mysite.comtwconfigure/model,Paid Search,20663
rules.config.mysite.comtwconfigure/model,Paid Search,20060
www.mysite.com/mysite-range/i-product-concept-car/index.html,Direct,20043
www.mysite.com/owners/index.html,Direct,18549
www.mysite.com/mysite-range/mysite-e-product/index.html,Paid Search,18221
www.mysite.com/about-mysite/secret_service/project-8.html,Direct,17957
www.mysite.com/about-mysite/secret_service/index.html,Organic Search,17459
www.mysite.com/mysite-rangetwsportbrake/index.html,Organic Search,16972
buildyour.mysite.com/product_x/configure/model,Paid Search,16404
www.mysite.com/mysite-rangetwsportbrake/index.html,Paid Search,15811
www.mysite.com/request-a-brochure/index.html,Organic Search,15580
www.mysite.com/search.html,Paid Search,14880
www.mysite.com/mysite-range/mysite-e-product/index.html,Direct,14288
widgetcalculator.mysite.com/bag/en/gb/models,Paid Search,13702
www.mysite.com/dealer-locator.html,Direct,13168
www.mysite.com/request-a-brochure/index.html,Paid Search,13160
www.mysite.com/search.html,Organic Search,13012
rules.config.mysite.comtwconfigure/model,Direct,12159
www.mysite.com/about-mysite/secret_service/index.html,Paid Search,11757
www.mysite.com/about-mysite/index.html,Organic Search,11516
www.mysite.com/august-sales-event/index.html,Organic Search,11470
rules.config.mysite.comtwconfigure/model,Direct,11352
www.mysite.com/retailer-locator/index.html,Paid Search,11142
widgetcalculator.mysite.com/bag/en/gb/models,Organic Search,11028
buildyour.mysite.com/product_x/configure/model,Direct,11023
www.mysite.com/mysite-range/index.html,Organic Search,10727
www.mysite.com/august-sales-event/index.html,Paid Search,10365
www.mysite.com/daphalltheway/index.html,Organic Search,10191
www.mysite.com/offers-and-widget/mysite-privilege.html,Paid Search,9831
www.mysite.com/mysite-rangetwsportbrake/index.html,Direct,9181
www.mysite.com/build-yours/index.html,Display,9063
www.mysite.com/daphalltheway/index.html,Paid Search,8695
www.mysite.com/request-a-brochure/index.html,Direct,8664
www.mysite.com/fleet-and-business/index.html,Organic Search,8497
www.mysite.com/comparison-tool/index.html,Paid Search,8429
www.mysite.com/retailer-locator/index.html,Organic Search,8303
www.mysite.com/about-mysite/secret_service.html,Organic Search,7922
www.mysite.com/mysite-range/index.html,Paid Search,7824
www.mysite.com/offers-and-widget/mysite-privilege.html,Organic Search,7288
www.mysite.com/about-mysite/index.html,Paid Search,7187
www.mysite.com/fleet-and-business/index.html,Paid Search,6766
www.mysite.com/mysite-rangetwindex.html,Referral,6580
www.mysite.com/comparison-tool/index.html,Organic Search,6297
www.mysite.com/search.html,Direct,6265
www.mysite.com/build-yours/index.html,Social,6204
www.mysite.com/mysite-range/f-product/index.html,Referral,6194
www.mysite.com/mysite-rangetwindex.html,Referral,6143
www.mysite.com/daphalltheway/i-product-etrophy.html,Paid Search,6107
www.mysite.com/about-mysite/secret_service/index.html,Direct,5949
www.mysite.com/about-mysite/secret_service.html,Paid Search,5833
www.mysite.com/offers-and-widget/all-offers/mysite-privilege.html,Paid Search,5814
widgetcalculator.mysite.com/bag/en/gb/models,Direct,5805
www.mysite.com/august-sales-event/index.html,Direct,5700
www.mysite.com/mysite-range/e-product/index.html,Referral,5696
www.mysite.com/daphalltheway/i-product-etrophy.html,Organic Search,5618
www.mysite.com/daphalltheway/index.html,Direct,5462
www.mysite.com/mysite-range-new/index.html,Organic Search,4918
www.mysite.com/experience-mysite/index.html,Organic Search,4898
www.mysite.com/careers.html,Organic Search,4391
www.mysite.com/offers-and-widget/all-offers/mysite-privilege.html,Organic Search,4243
rules.config.mysite.comtwconfigure/model,Referral,4171
www.mysite.com/about-mysite/index.html,Direct,4050
www.mysite.com/offers-and-widget/index.html,Referral,4043
www.mysite.com/mysite-range/f-prod/index.html,Referral,3907
www.mysite.com/contact-us/index.html,Organic Search,3830
www.mysite.com/retailer-locator/index.html,Direct,3786
rules.config.mysite.com/f-product/configure/model,Referral,3705
rules.config.mysite.comtwconfigure/model,Display,3647
www.mysite.com/careers.html,Paid Search,3523
www.mysite.com/market-selector.html,Organic Search,3223
www.mysite.com/experience-mysite/index.html,Paid Search,3150
www.mysite.com/about-mysite/secret_service.html,Direct,3104
www.mysite.com/build-yours/index.html,(Other),3050
www.mysite.com/mysite-range-new/index.html,Paid Search,2983
www.mysite.com/daphalltheway/i-product-etrophy.html,Direct,2934
www.mysite.com/mysite-rangetwbuild-yours.html,Referral,2904
www.mysite.com/fleet-and-business/index.html,Direct,2834
comparison.mysite.com/home,Organic Search,2796
www.mysite.com/comparison-tool/index.html,Direct,2764
www.mysite.com/offers-and-widget/mysite-privilege.html,Direct,2740
www.mysite.com/offers-and-widget/index.html,Display,2737
rules.config.mysite.com/f-product/configure/model,Display,2700
www.mysite.com/contact-us/index.html,Paid Search,2499
comparison.mysite.com/home,Paid Search,2406
www.mysite.com/mysite-range/f-prod/index.html,Display,2384
www.mysite.com/mysite-rangetwindex.html,Referral,2333
www.mysite.com/mysite-rangetwindex.html,Display,2307
jdxforms.mysite.com/mysite-gb-en/servlet/SmartForm.html,Organic Search,2296
www.mysite.com/mysite-rangetwindex.html,Display,2290
www.mysite.com/offers-and-widget/all-offers/index.html,Organic Search,2197
www.mysite.com/mysite-range/index.html,Direct,2182
www.mysite.com/experience-mysite/index.html,Direct,2139
widgetcalculator.mysite.com/bag/en/gb/models,Paid Search,2133
www.mysite.com/mysite-racing/get-involved/index.html,Organic Search,2117
jdxforms.mysite.com/mysite-gb-en/servlet/SmartForm.html,Paid Search,2113
rules.config.mysite.com/f-prod/configure/model,Display,2110
www.mysite.com/mysite-range/e-product/index.html,Display,2092
www.mysite.com/mysite-range/f-product/index.html,Display,2073
www.mysite.com/owners/index.html,Referral,2062
www.mysite.com/mysite-range/mysite-e-product/index.html,Referral,2059
www.mysite.com/offers-and-widget/all-offers/index.html,Paid Search,2042
rules.config.mysite.com/f-prod/configure/model,Referral,2027
www.mysite.com/owners/servicing-maintenance/book-service-online.html,Paid Search,2020
www.mysite.com/mysite-range-new/index.html,Direct,1941
